"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",2.06273117750033,2.06047081189935,2.00174248309811,1.96968070560089,2.03309688970979,2.07331208639139,2.09437273696663,1.99863937794087,1.81429831602565,1.65416969467535,1.55605206342715,1.48425632896063,1.40330088622792,1.31545642129816,1.24616172663442,1.17841507496309,1.13637481681898,1.06453871427387,1.03448246720903,1.02326165676047
"2",1.95345855588144,1.96196873878034,1.90686338789105,1.93952864622837,2.02816501711435,2.0941525349102,2.11611936679452,1.98513243255048,1.86719309915941,1.71366457063059,1.61171099525105,1.52653065932758,1.45925038296013,1.42180321570858,1.32390710544428,1.27542582805804,1.23737666630176,1.20446611267164,1.16765668332198,1.1580358448678
"3",1.83794878621872,1.86047963997578,1.85599724560631,1.90883112049421,2.01121512055929,2.07073632213222,2.10412192631671,2.00191675058105,1.86757901732716,1.74269643683379,1.62680083868019,1.57253230827199,1.49755229503177,1.46905069472528,1.40956331224854,1.37709327967363,1.33687628957741,1.30554618602335,1.29563905173649,1.28081678296362
"4",1.76963288462473,1.77904106686104,1.80769810349484,1.85959677437929,1.97501562179226,2.03835358724449,2.05049144098154,1.97767098629143,1.86149151580263,1.75358056542809,1.67720526250138,1.60916410396343,1.55484380221208,1.50669700797748,1.47586681956125,1.45342435859493,1.40499617259874,1.38041953873406,1.37687838746719,1.36167165612283
"5",1.74120701228065,1.73722160708989,1.75185316428509,1.80371779308913,1.90058200900997,1.9619208270441,1.98026460462359,1.90595261330571,1.85167939522378,1.74413842729017,1.70497820597538,1.63471128485697,1.55815549540472,1.54598381884208,1.51700042704509,1.46372151731705,1.45224975142064,1.44027327029256,1.42407245617056,1.44914481368723
"6",1.71603383071573,1.71012744673954,1.70769360308705,1.77677085429306,1.8407024923118,1.91154969575912,1.90497949416737,1.86475075876569,1.82036111267093,1.71857694604375,1.67175920817681,1.64252210667119,1.59208777927372,1.56145347172247,1.51242591847886,1.49501547150052,1.51599065555891,1.48743182059873,1.49187988611353,1.49663679336296
"7",1.68738766773485,1.65825448576439,1.68584389286185,1.72947188950988,1.80717525671658,1.82938220257003,1.86561786054716,1.81468646308171,1.75662892446941,1.70198627760295,1.66983454252456,1.60964927217242,1.60577659630534,1.57242001696443,1.55080445158738,1.52584324006158,1.5423687364344,1.52683440157999,1.51155269063092,1.52150860592663
"8",1.67527898627198,1.64764342121212,1.66776119072615,1.67797456007342,1.74179414375165,1.77508441726452,1.78317900144715,1.7568632208734,1.71998911174356,1.71078842970596,1.64067403049545,1.63042409827005,1.61563679714958,1.60876051938261,1.58370756211686,1.56812985994005,1.55216327555542,1.5365736553378,1.54961532845419,1.51763168548922
"9",1.63243426640283,1.67285777649524,1.64480747289099,1.6513541988061,1.69859272936339,1.72471172338523,1.74525753775359,1.70163596412928,1.67091239613495,1.64983558440743,1.64419303748861,1.63670671773593,1.60930608287475,1.59745344625559,1.59216438327651,1.58182606056339,1.57715762780038,1.57108664183288,1.56732840257045,1.53472200984838
"10",1.65051566804464,1.6235738689708,1.61146909874772,1.59036277040969,1.64694831307347,1.65621894692769,1.66904831614763,1.64398187486824,1.68145797972346,1.66139831543756,1.63615484383176,1.62066177285488,1.60676016176257,1.61310386580131,1.60001779780996,1.58047832928838,1.58529064337409,1.56742763505386,1.57067095802192,1.54069461375162
"11",1.59628552093766,1.61018015007576,1.58980301208582,1.56816534062248,1.60396344944986,1.58805017189555,1.60654405986416,1.59541091625479,1.59592056070788,1.61059675064979,1.60326371023731,1.60243640297669,1.61530504042575,1.59866936179369,1.59905849630848,1.57900169485476,1.60670190329385,1.58355402786356,1.57022988363289,1.55852203023475
"12",1.58972735993528,1.57946681189845,1.59594755889662,1.5256686240574,1.54948478913581,1.49893367459589,1.52255051261351,1.50708771168219,1.54227946168765,1.55968142638897,1.60144937718519,1.6030387689699,1.59428418931404,1.61223138475625,1.60414187709584,1.608222621067,1.61166803935356,1.591972871258,1.57181598554742,1.57267112601834
"13",1.5825257533975,1.5872323189442,1.58588762247512,1.51698042277699,1.49811676098562,1.43735630317205,1.43865387082504,1.43736391998468,1.4819575698422,1.54075997964098,1.56158867422045,1.59161062178662,1.59357726239371,1.58481453699796,1.61327410730116,1.6170798596386,1.61926226361347,1.62522662620769,1.59071265981435,1.58623029508374
"14",1.56561548152917,1.57988197820698,1.57563129674677,1.50087802693191,1.43047093702038,1.40634198418968,1.35428190283399,1.33383629407631,1.4468048583649,1.50303462991863,1.54179254923164,1.57431925200377,1.59815264561031,1.62059201143857,1.62520675124878,1.61588681092193,1.62287072962923,1.60622469497874,1.58751491222607,1.5733940509156
"15",1.58184709758384,1.54646694728787,1.54737382217987,1.46661687506913,1.39396971460622,1.30292771743578,1.29400798106881,1.31466384772185,1.41466148652035,1.45417337090486,1.50752045792717,1.5609487687207,1.59097208485036,1.61001258137014,1.60129244277925,1.60370397445823,1.61285128397542,1.5790181527823,1.55938274982488,1.55025868008472
"16",1.55919307270294,1.54377650787379,1.52465086508281,1.43602440087426,1.36368168868866,1.25788898108694,1.2448311449423,1.22375006407497,1.34647296265965,1.41435972021195,1.48910221806278,1.54214683948329,1.5830305649448,1.59678032090682,1.58900987006372,1.60248623464783,1.60904907268832,1.60296150482355,1.58824527690045,1.58625954913209
"17",1.56083881600848,1.58497623968134,1.53295430833601,1.40832829784767,1.3281022915599,1.20296986834354,1.17167655950102,1.17218554986686,1.26974122349735,1.38908344143842,1.47390840142313,1.53616720094511,1.59620994427666,1.58839387560059,1.59573008346779,1.59674055646018,1.63041107883089,1.59645824909651,1.60063306152015,1.59555352613799
"18",1.59566254043664,1.5723036319313,1.52453574202328,1.38769279079114,1.23677697541708,1.12847517717413,1.09770752525064,1.12421201781964,1.23947089128069,1.36096608296777,1.46999380451358,1.5692556439712,1.59055102094583,1.6109578519198,1.60595884690662,1.59671232397968,1.61187667476962,1.63146082901057,1.59928862804176,1.58472542190599
"19",1.56443282026304,1.56157328370756,1.53176429677268,1.40094409386121,1.24562878891733,1.08692936633881,1.07075252770205,1.11248535164881,1.21964835857696,1.31629399730797,1.45204862642449,1.53487335055205,1.57808351509507,1.5967155755306,1.59789318439657,1.59804932839238,1.60065008176553,1.61049797506726,1.59442171004369,1.60403184461079
"20",1.56609008198535,1.56310750526542,1.52356340419177,1.37204136874927,1.2212112019504,1.11916100004142,1.09563620198183,1.1556382937419,1.22301452795395,1.33251810194082,1.4326042847044,1.51681886080348,1.56842892109109,1.59320941810775,1.59001875827144,1.56778363520553,1.59133477166427,1.59739285712598,1.61576700552864,1.60641179670068
